State,Year,Quarter,Transaction_type,Transaction_count,Transaction_amount,Region
Andaman and Nicobar Islands,2018,1,Recharge & bill payments,4200,1845307.4673655091,Southern Region
Andaman and Nicobar Islands,2018,1,Peer-to-peer payments,1871,12138655.299749982,Southern Region
Andaman and Nicobar Islands,2018,1,Merchant payments,298,452507.168646613,Southern Region
Andaman and Nicobar Islands,2018,1,Financial Services,33,10601.419933464953,Southern Region
Andaman and Nicobar Islands,2018,1,Others,256,184689.8662902223,Southern Region
Andaman and Nicobar Islands,2018,2,Recharge & bill payments,6735,2320944.731074479,Southern Region
Andaman and Nicobar Islands,2018,2,Peer-to-peer payments,3575,24511925.23104766,Southern Region
Andaman and Nicobar Islands,2018,2,Merchant payments,603,1024491.0133579008,Southern Region
Andaman and Nicobar Islands,2018,2,Financial Services,59,121336.0270987509,Southern Region
Andaman and Nicobar Islands,2018,2,Others,368,359838.50537474576,Southern Region
Andaman and Nicobar Islands,2018,3,Recharge & bill payments,8636,4343504.868377829,Southern Region
Andaman and Nicobar Islands,2018,3,Peer-to-peer payments,6448,49270781.541635044,Southern Region
Andaman and Nicobar Islands,2018,3,Merchant payments,945,1627359.8394868043,Southern Region
Andaman and Nicobar Islands,2018,3,Financial Services,42,1481.4907042806485,Southern Region
Andaman and Nicobar Islands,2018,3,Others,194,314343.39410715323,Southern Region
Andaman and Nicobar Islands,2018,4,Recharge & bill payments,11517,5450549.512294375,Southern Region
Andaman and Nicobar Islands,2018,4,Peer-to-peer payments,10451,81001456.97825177,Southern Region
Andaman and Nicobar Islands,2018,4,Merchant payments,1421,3552027.735492656,Southern Region
Andaman and Nicobar Islands,2018,4,Financial Services,29,76035.7877393286,Southern Region
Andaman and Nicobar Islands,2018,4,Others,340,468266.0606770435,Southern Region
Andaman and Nicobar Islands,2019,1,Recharge & bill payments,15263,6611459.8729725825,Southern Region
Andaman and Nicobar Islands,2019,1,Peer-to-peer payments,13119,91808345.86839552,Southern Region
Andaman and Nicobar Islands,2019,1,Merchant payments,1759,3266589.8469614363,Southern Region
Andaman and Nicobar Islands,2019,1,Financial Services,62,116250.43671861099,Southern Region
Andaman and Nicobar Islands,2019,1,Others,283,497094.6484417205,Southern Region
Andaman and Nicobar Islands,2019,2,Recharge & bill payments,14676,7242448.256212333,Southern Region
